Node_ID,Node_Type,Region_ID,Capacity_MW,Variable_Cost_EUR_MWh,Latitude,Longitude,Weather_Correlation_Cluster
N_SEA_OFFSHORE_1,GEN_WIND,50HERTZ_N,8000,5,54.5,6.5,NORTH_WIND_CLUSTER
N_SEA_OFFSHORE_2,GEN_WIND,TENNET_N,8000,5,54.1,7.5,NORTH_WIND_CLUSTER
BALTIC_WIND_1,GEN_WIND,50HERTZ_N,5000,8,54.5,13.5,NORTH_WIND_CLUSTER
HAMBURG_HUB,LOAD,50HERTZ_N,-3000,0,53.5,10.0,NORTH_DEMAND
BERLIN_HUB,LOAD,50HERTZ_E,-5000,0,52.5,13.4,EAST_DEMAND
RUHR_INDUSTRIAL,LOAD,AMPRION,-12000,0,51.5,7.0,WEST_DEMAND
FRANKFURT_HUB,LOAD,AMPRION,-4000,0,50.1,8.6,CENTRAL_DEMAND
STUTTGART_HUB,LOAD,TRANSNETBW,-6000,0,48.7,9.1,SOUTH_DEMAND
MUNICH_HUB,LOAD,TENNET_S,-5000,0,48.1,11.5,SOUTH_DEMAND
BAVARIA_SOLAR_1,GEN_SOLAR,TENNET_S,6000,10,48.5,12.0,SOUTH_SOLAR_CLUSTER
BAVARIA_SOLAR_2,GEN_SOLAR,TENNET_S,5000,10,48.8,10.5,SOUTH_SOLAR_CLUSTER
RHINE_COAL_PHASEOUT,GEN_COAL,AMPRION,4000,80,51.0,6.5,DISPATCHABLE
SAXONY_COAL,GEN_COAL,50HERTZ_E,3000,85,51.5,14.0,DISPATCHABLE
GAS_PEAKER_NORTH,GEN_GAS,TENNET_N,2000,120,53.0,8.0,DISPATCHABLE
GAS_PEAKER_SOUTH,GEN_GAS,TRANSNETBW,3000,125,48.5,9.0,DISPATCHABLE
PUMPED_HYDRO_ALPS,STORAGE,TENNET_S,4000,60,47.5,11.0,STORAGE
INTERCONNECTOR_NORTH_SOUTH,TRANSMISSION,LINK,4000,2,51.0,9.5,BOTTLENECK
